source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Gizmodo.com'}",Matthew Gault,Musk and Trump’s Fort Knox Trip Is About Bitcoin,"More than a stunt, the Fort Knox visit might be a chance for the President to change the price of gold and dump the price hike into cryptocurrency.",https://gizmodo.com/musk-and-trumps-fort-knox-trip-is-about-bitcoin-2000569420,https://gizmodo.com/app/uploads/2024/10/sec-bitcoin-hack-arrest.jpg,2025-02-27T19:05:24Z,"Can a President make money out of thin air? On paper, yes.
Donald Trump and Elon Musk have been talking a lot about Fort Knox lately, the place where America keeps its official gold reserves. Both h… [+3792 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Vox Creative,Five predictions for where crypto is headed in 2025,"Crypto is, once again, exploding. Momentum born of a potentially friendlier regulatory atmosphere has met rising coin values, with Bitcoin more than doubling in value last year. Meanwhile, powered by advances to the underlying infrastructure, crypto is evolvi…",https://www.theverge.com/ad/612525/five-predictions-for-crypto-2025-saga,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/VG24_Saga_1660442_Lede_V1.png?quality=90&strip=all&crop=0%2C29.057591623037%2C100%2C41.884816753927&w=1200,2025-02-26T18:34:53Z,"Crypto is, once again, exploding. Momentum born of a potentially friendlier regulatory atmosphere has met rising coin values, with Bitcoin more than doubling in value last year. Meanwhile, powered by… [+6145 chars]"
"{'id': None, 'name': 'BBC News'}",,'This battle is my 9 to 5 - I won't stop until I have my £620m of Bitcoin back',"James Howells claimed his ex-girlfriend threw out the hard drive, today worth £620m, in 2013.",https://www.bbc.com/news/articles/czdl6er0369o,https://ichef.bbci.co.uk/news/1024/branded_news/bc34/live/df2953e0-eae6-11ef-bd1b-d536627785f2.jpg,2025-02-15T21:57:29Z,"James Howells tried to sue Newport council to gain access to the tip where his hard drive ended up
It has been more than a decade since James Howells' hard drive - containing Bitcoin now worth hundr… [+6747 chars]"
"{'id': None, 'name': 'BBC News'}",,Cryptocurrency theft of £1.1bn could be biggest ever,Dubai-based Bybit said it could afford to reimburse customers and that it was working to find the hackers.,https://www.bbc.com/news/articles/cx2844nvwx8o,https://ichef.bbci.co.uk/news/1024/branded_news/6955/live/3b7f8060-f0a0-11ef-aa8c-a70a49189dd9.jpg,2025-02-22T01:49:14Z,"Faarea Masud
Cryptocurrency firm Bybit said hackers stole $1.5bn (£1.1bn) worth of digital currency in what could be the biggest crypto theft in history.
The Dubai-based company's founder told user… [+2300 chars]"
"{'id': None, 'name': 'CNET'}",Evan Zimmer,Trump Signs Executive Order Creating a Strategic Bitcoin Reserve. What Does It Mean for Cryptocurrency?,"Similar to how the government has a reserve of other currencies such as gold, this reserve houses the country's digital currency.",https://www.cnet.com/personal-finance/crypto/trump-signs-executive-order-creating-a-strategic-bitcoin-reserve-what-does-it-mean-for-cryptocurrency/,https://www.cnet.com/a/img/resize/511d7a10a23afef51a95ef553fa61647efd01373/hub/2025/01/29/f11cf59d-a006-459c-a618-56ed85969d87/gettyimages-2159371875.jpg?auto=webp&fit=crop&height=675&width=1200,2025-03-07T17:31:00Z,"On Thursday, President Donald Trump signed an executive order authorizing the creation of a strategic bitcoin reserve. The reserve will hold bitcoin obtained by the US government through criminal or … [+3785 chars]"
"{'id': None, 'name': 'Slashdot.org'}",BeauHD,Trump Signs Order To Establish Strategic Bitcoin Reserve,"President Trump has signed an executive order to establish a strategic reserve of cryptocurrencies by using tokens already owned by the government. Reuters reports: A ""Strategic Bitcoin Reserve"" will be capitalized with bitcoin owned by the federal government…",https://yro.slashdot.org/story/25/03/07/2224215/trump-signs-order-to-establish-strategic-bitcoin-reserve,https://a.fsdn.com/sd/topics/bitcoin_64.png,2025-03-07T23:20:00Z,I think this is probably a typical story. Back in 2011 or so I screwed around with Bitcoin. Back then it was possible to mine it without using the power output of Argentina. I figured it was a nice p… [+312 chars]
"{'id': None, 'name': 'Gizmodo.com'}",AJ Dellinger,US Soldier Accused of Verizon and AT&T Hacks Pleads Guilty,"He faces up to $500,000 in fines and 20 years in prison.",https://gizmodo.com/us-soldier-accused-of-verizon-and-att-hacks-pleads-guilty-2000565667,https://gizmodo.com/app/uploads/2024/04/5dbff8ac39ab28ed7fbb47f4eac09c76.jpg,2025-02-19T20:40:30Z,"Cameron John Wagenius, a former US Army soldier, pleaded guilty to his role in a hack that affected AT&amp;T and Verizon and resulted in the theft of data from well over 100 million customers of the … [+2409 chars]"
"{'id': 'time', 'name': 'Time'}",Andrew R. Chow,Why Trump’s Crypto Reserve Plan Has Experts Worried,"Economists and crypto fans alike question Trump's plan to create a ""crypto strategic reserve"" that would include Bitcoin and Ethereum.",https://time.com/7263869/donald-trump-crypto-reserve-summit-bitcoin/,https://api.time.com/wp-content/uploads/2025/03/GettyImages-2198663541.jpg?quality=85&w=1024&h=628&crop=1,2025-03-04T13:00:00Z,"After taking a massive tumble in February, crypto markets rallied on Sunday following Donald Trumps announcement that he would create a national crypto strategic reserve. Trump wrote on Truth Social … [+7899 chars]"
"{'id': None, 'name': 'NPR'}",Maria Aspan,U.S. stock market plunge as Trump's tariffs spark fears about a trade war,U.S. stock markets plummeted on Tuesday morning as a new global trade war began.,https://www.npr.org/2025/03/04/nx-s1-5317515/u-s-stock-markets-plunge-trump-tariffs-canada-mexico-china,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4112x2313+0+239/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fcf%2F23%2F294cbe004e778fd147eab607c2dd%2Fgettyimages-2202696767.jpg,2025-03-04T16:06:37Z,"U.S. stock markets plummeted on Tuesday morning as a new global trade war began.
China and Canada announced new retaliatory measures on Tuesday after President Trump's long-promised tariffs took eff… [+1134 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,Strategy buys additional $2 billion worth of bitcoin,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_05de709f-94ea-44cd-9dab-ebd360bfd2d6,,2025-02-24T16:06:02Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
